"","CBSA.Code","CBSA.Title","Eligibles","Enrolled","Penetration","bins"
"135","15740","Cambridge, OH",8730,2664,0.305,0.4
"136","15780","Camden, AR",7241,1664,0.23,0.3
"137","15820","Campbellsville, KY",5847,1119,0.191,0.2
"138","15860","Cañon City, CO",10727,3066,0.286,0.3
"139","15900","Canton, IL",7737,1973,0.255,0.3
"140","15940","Canton-Massillon, OH",84111,41108,0.489,0.5
"141","15980","Cape Coral-Fort Myers, FL",156787,47663,0.304,0.4
"142","16020","Cape Girardeau, MO-IL",18617,1575,0.085,0.1
"143","16060","Carbondale-Marion, IL",22888,4003,0.175,0.2
"144","16100","Carlsbad-Artesia, NM",9349,679,0.073,0.1
"145","16180","Carson City, NV",11895,922,0.078,0.1
"146","16220","Casper, WY",12253,499,0.041,0.1
"147","16260","Cedar City, UT",6423,1651,0.257,0.3
"148","16300","Cedar Rapids, IA",44711,11074,0.248,0.3
"149","16340","Cedartown, GA",8083,2068,0.256,0.3
"150","16380","Celina, OH",7698,2098,0.273,0.3
"151","16460","Centralia, IL",8989,889,0.099,0.1
"152","16500","Centralia, WA",18012,5356,0.297,0.3
"153","16540","Chambersburg-Waynesboro, PA",32177,7335,0.228,0.3
"154","16580","Champaign-Urbana, IL",31784,12889,0.406,0.5
"155","16620","Charleston, WV",51929,16074,0.31,0.4
"156","16660","Charleston-Mattoon, IL",11193,2264,0.202,0.3
"157","16700","Charleston-North Charleston, SC",112770,20608,0.183,0.2
"158","16740","Charlotte-Concord-Gastonia, NC-SC",346379,98224,0.284,0.3
"159","16820","Charlottesville, VA",38801,3801,0.098,0.1
"160","16860","Chattanooga, TN-GA",104438,32727,0.313,0.4
"161","16940","Cheyenne, WY",16099,526,0.033,0.1
"162","16980","Chicago-Naperville-Elgin, IL-IN-WI",1377000,231613,0.168,0.2
"163","17020","Chico, CA",46290,636,0.014,0.1
"164","17060","Chillicothe, OH",14735,5317,0.361,0.4
"165","17140","Cincinnati, OH-KY-IN",349456,133954,0.383,0.4
"166","17200","Claremont-Lebanon, NH-VT",48105,2764,0.057,0.1
"167","17220","Clarksburg, WV",20468,4770,0.233,0.3
"168","17260","Clarksdale, MS",4857,269,0.055,0.1
"169","17300","Clarksville, TN-KY",34588,7229,0.209,0.3
"170","17340","Clearlake, CA",16184,654,0.04,0.1
"171","17380","Cleveland, MS",6761,499,0.074,0.1
"172","17420","Cleveland, TN",24681,8374,0.339,0.4
"173","17460","Cleveland-Elyria, OH",393484,150079,0.381,0.4
"174","17500","Clewiston, FL",5057,1142,0.226,0.3
"175","17540","Clinton, IA",10154,1413,0.139,0.2
"176","17580","Clovis, NM",6953,695,0.1,0.1
"177","17620","Coamo, PR",7190,5237,0.728,0.8
"178","17640","Coco, PR",5836,4185,0.717,0.8
"179","17660","Coeur d'Alene, ID",30001,8784,0.293,0.3
"180","17700","Coffeyville, KS",7383,443,0.06,0.1
"181","17740","Coldwater, MI",8833,1732,0.196,0.2
"182","17780","College Station-Bryan, TX",26406,4704,0.178,0.2
"183","17820","Colorado Springs, CO",93007,27158,0.292,0.3
"184","17860","Columbia, MO",22167,3015,0.136,0.2
"185","17900","Columbia, SC",125023,24326,0.195,0.2
"186","17980","Columbus, GA-AL",49364,13035,0.264,0.3
"187","18020","Columbus, IN",14160,2422,0.171,0.2
"188","18060","Columbus, MS",10984,1009,0.092,0.1
"189","18100","Columbus, NE",5824,263,0.045,0.1
"190","18140","Columbus, OH",284025,122047,0.43,0.5
"191","18180","Concord, NH",29113,2105,0.072,0.1
"192","18220","Connersville, IN",5793,807,0.139,0.2
"193","18260","Cookeville, TN",23262,4237,0.182,0.2
"194","18300","Coos Bay, OR",17641,1783,0.101,0.2
"195","18380","Cordele, GA",4137,1392,0.336,0.4
"196","18420","Corinth, MS",8796,231,0.026,0.1
"197","18460","Cornelia, GA",8677,2279,0.263,0.3
"198","18500","Corning, NY",20754,6372,0.307,0.4
"199","18580","Corpus Christi, TX",71719,32595,0.454,0.5
"200","18620","Corsicana, TX",9402,1672,0.178,0.2
"201","18660","Cortland, NY",8705,2010,0.231,0.3
"202","18700","Corvallis, OR",13478,6056,0.449,0.5
"203","18740","Coshocton, OH",7671,2089,0.272,0.3
"204","18780","Craig, CO",1919,135,0.07,0.1
"205","18820","Crawfordsville, IN",7363,1594,0.216,0.3
"206","18860","Crescent City, CA",5430,424,0.078,0.1
"207","18880","Crestview-Fort Walton Beach-Destin, FL",46284,6346,0.137,0.2
"208","18900","Crossville, TN",19204,3710,0.193,0.2
"209","18980","Cullman, AL",18179,3976,0.219,0.3
"210","19000","Cullowhee, NC",7580,1700,0.224,0.3
"211","19060","Cumberland, MD-WV",22832,1591,0.07,0.1
"212","19100","Dallas-Fort Worth-Arlington, TX",803515,241995,0.301,0.4
"213","19140","Dalton, GA",22482,3293,0.146,0.2
"214","19180","Danville, IL",17095,6057,0.354,0.4
"215","19220","Danville, KY",11899,2770,0.233,0.3
"216","19260","Danville, VA",25988,4259,0.164,0.2
"217","19300","Daphne-Fairhope-Foley, AL",42730,13573,0.318,0.4
"218","19340","Davenport-Moline-Rock Island, IA-IL",72235,14762,0.204,0.3
"219","19380","Dayton, OH",151580,65862,0.435,0.5
"220","19420","Dayton, TN",7063,1653,0.234,0.3
"221","19460","Decatur, AL",31252,3619,0.116,0.2
"222","19500","Decatur, IL",22992,3628,0.158,0.2
"223","19540","Decatur, IN",5485,1993,0.363,0.4
"224","19580","Defiance, OH",7906,1761,0.223,0.3
"225","19620","Del Rio, TX",7841,1677,0.214,0.3
"226","19660","Deltona-Daytona Beach-Ormond Beach, FL",155663,66682,0.428,0.5
"227","19700","Deming, NM",6268,1922,0.307,0.4
"228","19740","Denver-Aurora-Lakewood, CO",353420,169339,0.479,0.5
"229","19760","DeRidder, LA",6350,588,0.093,0.1
"230","19780","Des Moines-West Des Moines, IA",86980,15198,0.175,0.2
"231","19820","Detroit-Warren-Dearborn, MI",765516,233345,0.305,0.4
"232","19860","Dickinson, ND",4223,492,0.117,0.2
"233","19940","Dixon, IL",7347,1057,0.144,0.2
"234","19980","Dodge City, KS",3893,83,0.021,0.1
"235","20020","Dothan, AL",32297,4395,0.136,0.2
"236","20060","Douglas, GA",6632,1758,0.265,0.3
"237","20100","Dover, DE",30823,2067,0.067,0.1
"238","20140","Dublin, GA",11617,3216,0.277,0.3
"239","20180","DuBois, PA",18364,6937,0.378,0.4
"240","20220","Dubuque, IA",17999,7442,0.413,0.5
"241","20260","Duluth, MN-WI",57941,26656,0.46,0.5
"242","20300","Dumas, TX",2374,281,0.118,0.2
"243","20340","Duncan, OK",9531,953,0.1,0.1
"244","20380","Dunn, NC",17227,3348,0.194,0.2
"245","20420","Durango, CO",8366,882,0.105,0.2
"246","20460","Durant, OK",8287,513,0.062,0.1
"247","20500","Durham-Chapel Hill, NC",79446,24440,0.308,0.4
"248","20540","Dyersburg, TN",8144,1054,0.129,0.2
"249","20580","Eagle Pass, TX",8893,2515,0.283,0.3
"250","20660","Easton, MD",10229,259,0.025,0.1
"251","20700","East Stroudsburg, PA",29337,5107,0.174,0.2
"252","20740","Eau Claire, WI",29403,8169,0.278,0.3
"253","20780","Edwards, CO",4274,297,0.069,0.1
"254","20820","Effingham, IL",6665,599,0.09,0.1
"255","20900","El Campo, TX",7385,1232,0.167,0.2
"256","20940","El Centro, CA",26805,3002,0.112,0.2
"257","20980","El Dorado, AR",9460,1276,0.135,0.2
"258","21020","Elizabeth City, NC",12763,1494,0.117,0.2
"259","21060","Elizabethtown-Fort Knox, KY",24535,3854,0.157,0.2
"260","21120","Elk City, OK",3498,163,0.047,0.1
"261","21140","Elkhart-Goshen, IN",31131,8316,0.267,0.3
"262","21180","Elkins, WV",6874,1402,0.204,0.3
"263","21220","Elko, NV",5776,84,0.015,0.1
"264","21260","Ellensburg, WA",6989,439,0.063,0.1
"265","21300","Elmira, NY",18878,5924,0.314,0.4
"266","21340","El Paso, TX",112883,52474,0.465,0.5
"267","21380","Emporia, KS",5519,289,0.052,0.1
"268","21420","Enid, OK",11288,621,0.055,0.1
"269","21460","Enterprise, AL",9774,851,0.087,0.1
"270","21500","Erie, PA",54034,24060,0.445,0.5
"271","21540","Escanaba, MI",9816,2413,0.246,0.3
"272","21580","Española, NM",8170,2120,0.259,0.3
"273","21660","Eugene, OR",72603,35578,0.49,0.5
"274","21700","Eureka-Arcata-Fortuna, CA",25639,795,0.031,0.1
"275","21740","Evanston, WY",2673,269,0.101,0.2
"276","21780","Evansville, IN-KY",59394,15074,0.254,0.3
"277","21820","Fairbanks, AK",9141,34,0.004,0.1
"278","21840","Fairfield, IA",3523,421,0.12,0.2
"279","21900","Fairmont, WV",12685,3403,0.268,0.3
"280","21980","Fallon, NV",4993,394,0.079,0.1
"281","22020","Fargo, ND-MN",29168,7722,0.265,0.3
"282","22060","Faribault-Northfield, MN",10212,5685,0.557,0.6
"283","22100","Farmington, MO",13909,1766,0.127,0.2
"284","22140","Farmington, NM",17965,686,0.038,0.1
"285","22180","Fayetteville, NC",50775,11780,0.232,0.3
"286","22220","Fayetteville-Springdale-Rogers, AR-MO",72889,19414,0.266,0.3
"287","22260","Fergus Falls, MN",14191,8123,0.572,0.6
"288","22280","Fernley, NV",11940,2411,0.202,0.3
"289","22300","Findlay, OH",13466,3706,0.275,0.3
"290","22340","Fitzgerald, GA",3520,1022,0.29,0.3
"291","22380","Flagstaff, AZ",16766,1890,0.113,0.2
"292","22420","Flint, MI",83312,27829,0.334,0.4
"293","22500","Florence, SC",40193,5350,0.133,0.2
"294","22520","Florence-Muscle Shoals, AL",33475,3827,0.114,0.2
"295","22540","Fond du Lac, WI",19198,8731,0.455,0.5
"296","22580","Forest City, NC",15488,3022,0.195,0.2
"297","22620","Forrest City, AR",4820,1009,0.209,0.3
"298","22660","Fort Collins, CO",49618,13339,0.269,0.3
"299","22700","Fort Dodge, IA",7645,562,0.074,0.1
"300","22780","Fort Leonard Wood, MO",5479,575,0.105,0.2
"301","22800","Fort Madison-Keokuk, IA-IL-MO",13956,1378,0.099,0.1
"302","22820","Fort Morgan, CO",4553,380,0.083,0.1
"303","22860","Fort Polk South, LA",6861,457,0.067,0.1
"304","22900","Fort Smith, AR-OK",55480,14157,0.255,0.3
"305","23060","Fort Wayne, IN",69783,29833,0.428,0.5
"306","23140","Frankfort, IN",5991,938,0.157,0.2
"307","23180","Frankfort, KY",16125,5714,0.354,0.4
"308","23240","Fredericksburg, TX",7288,1165,0.16,0.2
"309","23300","Freeport, IL",10692,3592,0.336,0.4
"310","23340","Fremont, NE",7702,801,0.104,0.2
"311","23380","Fremont, OH",12118,3294,0.272,0.3
"312","23420","Fresno, CA",123203,34866,0.283,0.3
"313","23460","Gadsden, AL",24147,5815,0.241,0.3
"314","23500","Gaffney, SC",11525,3461,0.3,0.3
"315","23540","Gainesville, FL",40507,6645,0.164,0.2
"316","23580","Gainesville, GA",29639,7809,0.263,0.3
"317","23620","Gainesville, TX",7291,1295,0.178,0.2
"318","23660","Galesburg, IL",11766,3392,0.288,0.3
"319","23700","Gallup, NM",9569,604,0.063,0.1
"320","23780","Garden City, KS",4688,113,0.024,0.1
"321","23820","Gardnerville Ranchos, NV",12531,1014,0.081,0.1
"322","23860","Georgetown, SC",16882,2982,0.177,0.2
"323","23900","Gettysburg, PA",21106,6253,0.296,0.3
"324","23940","Gillette, WY",4120,13,0.003,0.1
"325","23980","Glasgow, KY",11573,2652,0.229,0.3
"326","24020","Glens Falls, NY",28227,10506,0.372,0.4
"327","24060","Glenwood Springs, CO",9104,827,0.091,0.1
"328","24100","Gloversville, NY",11971,5061,0.423,0.5
"329","24140","Goldsboro, NC",21982,3890,0.177,0.2
"330","24220","Grand Forks, ND-MN",15283,4140,0.271,0.3
"331","24260","Grand Island, NE",14512,1061,0.073,0.1
"332","24300","Grand Junction, CO",28163,10317,0.366,0.4
"333","24340","Grand Rapids-Wyoming, MI",162311,78692,0.485,0.5
"334","24380","Grants, NM",4414,673,0.152,0.2
"335","24420","Grants Pass, OR",23702,9083,0.383,0.4
"336","24460","Great Bend, KS",5333,69,0.013,0.1
"337","24500","Great Falls, MT",16265,3700,0.227,0.3
"338","24540","Greeley, CO",34531,10364,0.3,0.3
"339","24580","Green Bay, WI",52056,24948,0.479,0.5
"340","24620","Greeneville, TN",17813,7212,0.405,0.5
"341","24640","Greenfield Town, MA",15625,3064,0.196,0.2
"342","24660","Greensboro-High Point, NC",132193,65300,0.494,0.5
"343","24700","Greensburg, IN",4988,1088,0.218,0.3
"344","24740","Greenville, MS",9788,1287,0.131,0.2
"345","24780","Greenville, NC",24954,3529,0.141,0.2
"346","24820","Greenville, OH",10984,3052,0.278,0.3
"347","24860","Greenville-Anderson-Mauldin, SC",161398,48169,0.298,0.3
"348","24900","Greenwood, MS",8321,263,0.032,0.1
"349","24940","Greenwood, SC",20155,4802,0.238,0.3
"350","24980","Grenada, MS",5106,527,0.103,0.2
"351","25020","Guayama, PR",15553,12302,0.791,0.8
"352","25060","Gulfport-Biloxi-Pascagoula, MS",66470,12464,0.188,0.2
"353","25100","Guymon, OK",2483,144,0.058,0.1
"354","25180","Hagerstown-Martinsburg, MD-WV",45753,5915,0.129,0.2
"355","25200","Hailey, ID",4829,1069,0.221,0.3
"356","25220","Hammond, LA",19971,5636,0.282,0.3
"357","25260","Hanford-Corcoran, CA",15344,1800,0.117,0.2
"358","25300","Hannibal, MO",8438,733,0.087,0.1
"359","25420","Harrisburg-Carlisle, PA",104863,44883,0.428,0.5
"360","25460","Harrison, AR",11738,2624,0.224,0.3
"361","25500","Harrisonburg, VA",20395,2643,0.13,0.2
"362","25540","Hartford-West Hartford-East Hartford, CT",215660,58304,0.27,0.3
"363","25580","Hastings, NE",6264,261,0.042,0.1
"364","25620","Hattiesburg, MS",23166,3941,0.17,0.2
"365","25700","Hays, KS",4565,76,0.017,0.1
"366","25720","Heber, UT",2828,943,0.333,0.4
"367","25740","Helena, MT",14754,2567,0.174,0.2
"368","25760","Helena-West Helena, AR",4305,903,0.21,0.3
"369","25780","Henderson, NC",9777,2840,0.29,0.3
"370","25820","Hereford, TX",2651,421,0.159,0.2
"371","25840","Hermiston-Pendleton, OR",14509,1904,0.131,0.2
"372","25860","Hickory-Lenoir-Morganton, NC",76271,23098,0.303,0.4
"373","25880","Hillsdale, MI",9337,2284,0.245,0.3
"374","25900","Hilo, HI",36126,15272,0.423,0.5
"375","25940","Hilton Head Island-Bluffton-Beaufort, SC",45848,7613,0.166,0.2
"376","25980","Hinesville, GA",7007,1595,0.228,0.3
"377","26020","Hobbs, NM",8271,214,0.026,0.1
"378","26090","Holland, MI",19766,9184,0.465,0.5
"379","26140","Homosassa Springs, FL",51030,15251,0.299,0.3
"380","26220","Hood River, OR",3641,878,0.241,0.3
"381","26300","Hot Springs, AR",26092,5304,0.203,0.3
"382","26340","Houghton, MI",7720,1960,0.254,0.3
"383","26380","Houma-Thibodaux, LA",34812,6270,0.18,0.2
"384","26420","Houston-The Woodlands-Sugar Land, TX",704203,245393,0.348,0.4
"385","26460","Hudson, NY",14091,3949,0.28,0.3
"386","26500","Huntingdon, PA",9839,3459,0.352,0.4
"387","26540","Huntington, IN",7419,3312,0.446,0.5
"388","26580","Huntington-Ashland, WV-KY-OH",81594,21512,0.264,0.3
"389","26620","Huntsville, AL",71691,10736,0.15,0.2
"390","26660","Huntsville, TX",12585,3327,0.264,0.3
"391","26700","Huron, SD",3431,681,0.198,0.2
"392","26740","Hutchinson, KS",13170,830,0.063,0.1
"393","26780","Hutchinson, MN",6932,4201,0.606,0.7
"394","26820","Idaho Falls, ID",19535,4074,0.209,0.3
"395","26860","Indiana, PA",17462,10354,0.593,0.6
"396","26900","Indianapolis-Carmel-Anderson, IN",292314,72454,0.248,0.3
"397","26940","Indianola, MS",4582,264,0.058,0.1
"398","26960","Ionia, MI",10178,3236,0.318,0.4
"399","26980","Iowa City, IA",20571,2556,0.124,0.2
"400","27020","Iron Mountain, MI-WI",7694,1839,0.239,0.3
"401","27060","Ithaca, NY",14461,2923,0.202,0.3
"402","27100","Jackson, MI",31462,7427,0.236,0.3
"403","27140","Jackson, MS",93296,18697,0.2,0.2
"404","27160","Jackson, OH",6911,1714,0.248,0.3
"405","27180","Jackson, TN",24823,4107,0.165,0.2
"406","27220","Jackson, WY-ID",3863,209,0.054,0.1
"407","27260","Jacksonville, FL",233355,60214,0.258,0.3
"408","27300","Jacksonville, IL",8467,1460,0.172,0.2
"409","27340","Jacksonville, NC",19751,2333,0.118,0.2
"410","27380","Jacksonville, TX",9639,2393,0.248,0.3
"411","27420","Jamestown, ND",4417,1102,0.249,0.3
"412","27460","Jamestown-Dunkirk-Fredonia, NY",29179,13010,0.446,0.5
"413","27500","Janesville-Beloit, WI",29532,9063,0.307,0.4
"414","27540","Jasper, IN",10565,1181,0.112,0.2
"415","27580","Jayuya, PR",3193,2191,0.686,0.7
"416","27600","Jefferson, GA",10682,2929,0.274,0.3
"417","27620","Jefferson City, MO",26146,3058,0.117,0.2
"418","27700","Jesup, GA",5490,1420,0.259,0.3
"419","27740","Johnson City, TN",45051,19409,0.431,0.5
"420","27780","Johnstown, PA",34355,20886,0.608,0.7
"421","27860","Jonesboro, AR",22564,3475,0.154,0.2
"422","27900","Joplin, MO",32469,6911,0.213,0.3
"423","27920","Junction City, KS",3535,304,0.086,0.1
"424","27940","Juneau, AK",4116,0,0,0
"425","27980","Kahului-Wailuku-Lahaina, HI",24704,12030,0.487,0.5
"426","28020","Kalamazoo-Portage, MI",58170,18125,0.312,0.4
"427","28060","Kalispell, MT",19377,4231,0.218,0.3
"428","28100","Kankakee, IL",20242,2945,0.145,0.2
"429","28140","Kansas City, MO-KS",321936,91284,0.284,0.3
"430","28180","Kapaa, HI",12705,5078,0.4,0.4
"431","28260","Kearney, NE",8182,672,0.082,0.1
"432","28300","Keene, NH",16156,1173,0.073,0.1
"433","28340","Kendallville, IN",8182,3429,0.419,0.5
"434","28380","Kennett, MO",7522,833,0.111,0.2
"435","28420","Kennewick-Richland, WA",37366,4726,0.126,0.2
"436","28500","Kerrville, TX",14409,1982,0.138,0.2
"437","28540","Ketchikan, AK",2066,0,0,0
"438","28580","Key West, FL",15168,1367,0.09,0.1
"439","28620","Kill Devil Hills, NC",8027,756,0.094,0.1
"440","28660","Killeen-Temple, TX",52288,14267,0.273,0.3
"441","28700","Kingsport-Bristol-Bristol, TN-VA",79089,38937,0.492,0.5
"442","28740","Kingston, NY",36552,8173,0.224,0.3
"443","28780","Kingsville, TX",4715,1768,0.375,0.4
"444","28820","Kinston, NC",13222,1620,0.123,0.2
"445","28860","Kirksville, MO",5272,292,0.055,0.1
"446","28900","Klamath Falls, OR",15094,3271,0.217,0.3
"447","28940","Knoxville, TN",174188,70016,0.402,0.5
"448","29020","Kokomo, IN",18276,2210,0.121,0.2
"449","29060","Laconia, NH",15336,1128,0.074,0.1
"450","29100","La Crosse-Onalaska, WI-MN",24049,10386,0.432,0.5
"451","29180","Lafayette, LA",74433,7459,0.1,0.1
"452","29200","Lafayette-West Lafayette, IN",27455,4700,0.171,0.2
"453","29260","La Grande, OR",5535,556,0.1,0.1
"454","29300","LaGrange, GA",11634,3131,0.269,0.3
"455","29340","Lake Charles, LA",35036,4951,0.141,0.2
"456","29380","Lake City, FL",13690,2421,0.177,0.2
"457","29420","Lake Havasu City-Kingman, AZ",55653,14649,0.263,0.3
"458","29460","Lakeland-Winter Haven, FL",131072,58454,0.446,0.5
"459","29500","Lamesa, TX",2293,359,0.157,0.2
"460","29540","Lancaster, PA",98561,34733,0.352,0.4
"461","29620","Lansing-East Lansing, MI",76039,20032,0.263,0.3
"462","29660","Laramie, WY",4189,234,0.056,0.1
"463","29700","Laredo, TX",28188,4935,0.175,0.2
"464","29740","Las Cruces, NM",33884,10105,0.298,0.3
"465","29780","Las Vegas, NM",6264,1154,0.184,0.2
"466","29820","Las Vegas-Henderson-Paradise, NV",287374,107378,0.374,0.4
"467","29860","Laurel, MS",17286,2382,0.138,0.2
"468","29900","Laurinburg, NC",7920,1510,0.191,0.2
"469","29940","Lawrence, KS",14168,1658,0.117,0.2
"470","29980","Lawrenceburg, TN",9600,1693,0.176,0.2
"471","30020","Lawton, OK",18054,765,0.042,0.1
"472","30060","Lebanon, MO",7942,3267,0.411,0.5
"473","30140","Lebanon, PA",28374,10654,0.375,0.4
"474","30220","Levelland, TX",3672,830,0.226,0.3
"475","30260","Lewisburg, PA",7586,2701,0.356,0.4
"476","30280","Lewisburg, TN",5939,1731,0.291,0.3
"477","30300","Lewiston, ID-WA",14550,2925,0.201,0.3
"478","30340","Lewiston-Auburn, ME",22796,5533,0.243,0.3
"479","30380","Lewistown, PA",10989,4657,0.424,0.5
"480","30420","Lexington, NE",4375,578,0.132,0.2
"481","30460","Lexington-Fayette, KY",73936,22047,0.298,0.3
"482","30580","Liberal, KS",2338,21,0.009,0.1
"483","30620","Lima, OH",20428,5367,0.263,0.3
"484","30660","Lincoln, IL",5654,1356,0.24,0.3
"485","30700","Lincoln, NE",44887,3894,0.087,0.1
"486","30780","Little Rock-North Little Rock-Conway, AR",126053,19873,0.158,0.2
"487","30820","Lock Haven, PA",8091,3312,0.409,0.5
"488","30860","Logan, UT-ID",13367,4960,0.371,0.4
"489","30880","Logan, WV",8721,2472,0.283,0.3
"490","30900","Logansport, IN",7479,1334,0.178,0.2
"491","30940","London, KY",28571,5196,0.182,0.2
"492","30980","Longview, TX",38563,8587,0.223,0.3
"493","31020","Longview, WA",22880,10318,0.451,0.5
"494","31060","Los Alamos, NM",3038,203,0.067,0.1
"495","31080","Los Angeles-Long Beach-Anaheim, CA",1762457,801845,0.455,0.5
"496","31140","Louisville/Jefferson County, KY-IN",224732,58783,0.262,0.3
"497","31180","Lubbock, TX",42610,12498,0.293,0.3
"498","31220","Ludington, MI",7381,1793,0.243,0.3
"499","31260","Lufkin, TX",15938,3938,0.247,0.3
"500","31300","Lumberton, NC",22740,4674,0.206,0.3
"501","31340","Lynchburg, VA",54200,8001,0.148,0.2
"502","31380","Macomb, IL",5523,1373,0.249,0.3
"503","31420","Macon, GA",43325,13496,0.312,0.4
"504","31460","Madera, CA",21795,6915,0.317,0.4
"505","31500","Madison, IN",6750,802,0.119,0.2
"506","31540","Madison, WI",93314,20724,0.222,0.3
"507","31580","Madisonville, KY",10165,2201,0.217,0.3
"508","31620","Magnolia, AR",5109,629,0.123,0.2
"509","31660","Malone, NY",10251,2142,0.209,0.3
"510","31680","Malvern, AR",7231,1169,0.162,0.2
"511","31700","Manchester-Nashua, NH",68861,5406,0.079,0.1
"512","31740","Manhattan, KS",10105,677,0.067,0.1
"513","31820","Manitowoc, WI",17379,7065,0.407,0.5
"514","31860","Mankato-North Mankato, MN",14915,7226,0.484,0.5
"515","31900","Mansfield, OH",26222,6704,0.256,0.3
"516","31930","Marietta, OH",13712,2823,0.206,0.3
"517","31940","Marinette, WI-MI",16628,5463,0.329,0.4
"518","31980","Marion, IN",15256,2947,0.193,0.2
"519","32000","Marion, NC",10519,2830,0.269,0.3
"520","32020","Marion, OH",13153,4410,0.335,0.4
"521","32100","Marquette, MI",13491,3321,0.246,0.3
"522","32140","Marshall, MN",4433,1654,0.373,0.4
"523","32180","Marshall, MO",4631,750,0.162,0.2
"524","32220","Marshall, TX",11698,2409,0.206,0.3
"525","32260","Marshalltown, IA",8114,1018,0.125,0.2
"526","32280","Martin, TN",6976,837,0.12,0.2
"527","32300","Martinsville, VA",18666,4877,0.261,0.3
"528","32340","Maryville, MO",3560,164,0.046,0.1
