"","CBSA.Code","CBSA.Title","Eligibles","Enrolled","Penetration","bins"
"788","43380","Sidney, OH",8506,2587,0.304,0.4
"789","43420","Sierra Vista-Douglas, AZ",27450,8225,0.3,0.3
"790","43460","Sikeston, MO",9090,812,0.089,0.1
"791","43500","Silver City, NM",7760,1678,0.216,0.3
"792","43580","Sioux City, IA-NE-SD",28670,5971,0.208,0.3
"793","43620","Sioux Falls, SD",37695,7564,0.201,0.3
"794","43660","Snyder, TX",2769,442,0.16,0.2
"795","43700","Somerset, KY",15679,3994,0.255,0.3
"796","43740","Somerset, PA",18061,10354,0.573,0.6
"797","43760","Sonora, CA",14299,522,0.037,0.1
"798","43780","South Bend-Mishawaka, IN-MI",56179,16042,0.286,0.3
"799","43900","Spartanburg, SC",64131,22130,0.345,0.4
"800","43940","Spearfish, SD",5082,947,0.186,0.2
"801","43980","Spencer, IA",3670,0,0,0
"802","44020","Spirit Lake, IA",4521,201,0.044,0.1
"803","44060","Spokane-Spokane Valley, WA",101603,31507,0.31,0.4
"804","44100","Springfield, IL",38966,12902,0.331,0.4
"805","44140","Springfield, MA",121066,31934,0.264,0.3
"806","44180","Springfield, MO",83944,34974,0.417,0.5
"807","44220","Springfield, OH",28605,13538,0.473,0.5
"808","44260","Starkville, MS",6215,526,0.085,0.1
"809","44300","State College, PA",21526,9933,0.461,0.5
"810","44340","Statesboro, GA",8949,2039,0.228,0.3
"811","44420","Staunton-Waynesboro, VA",26627,3196,0.12,0.2
"812","44460","Steamboat Springs, CO",2959,228,0.077,0.1
"813","44500","Stephenville, TX",5826,1120,0.192,0.2
"814","44540","Sterling, CO",3833,433,0.113,0.2
"815","44580","Sterling, IL",12860,1923,0.15,0.2
"816","44620","Stevens Point, WI",11952,4556,0.381,0.4
"817","44660","Stillwater, OK",10623,373,0.035,0.1
"818","44700","Stockton-Lodi, CA",97097,33513,0.345,0.4
"819","44740","Storm Lake, IA",3307,159,0.048,0.1
"820","44780","Sturgis, MI",12074,2686,0.222,0.3
"821","44860","Sulphur Springs, TX",7017,814,0.116,0.2
"822","44900","Summerville, GA",5423,1580,0.291,0.3
"823","44920","Summit Park, UT",4284,1312,0.306,0.4
"824","44940","Sumter, SC",19444,3155,0.162,0.2
"825","44980","Sunbury, PA",21740,7375,0.339,0.4
"826","45000","Susanville, CA",4606,69,0.015,0.1
"827","45020","Sweetwater, TX",2981,486,0.163,0.2
"828","45060","Syracuse, NY",122638,40543,0.331,0.4
"829","45140","Tahlequah, OK",8468,700,0.083,0.1
"830","45180","Talladega-Sylacauga, AL",20947,4828,0.23,0.3
"831","45220","Tallahassee, FL",53379,23083,0.432,0.5
"832","45300","Tampa-St. Petersburg-Clearwater, FL",577666,270038,0.467,0.5
"833","45340","Taos, NM",7991,1648,0.206,0.3
"834","45380","Taylorville, IL",7419,1350,0.182,0.2
"835","45460","Terre Haute, IN",32712,3752,0.115,0.2
"836","45500","Texarkana, TX-AR",28934,5082,0.176,0.2
"837","45520","The Dalles, OR",5594,1294,0.231,0.3
"838","45540","The Villages, FL",56805,17149,0.302,0.4
"839","45580","Thomaston, GA",6116,2206,0.361,0.4
"840","45620","Thomasville, GA",9628,2785,0.289,0.3
"841","45660","Tiffin, OH",11160,2353,0.211,0.3
"842","45700","Tifton, GA",7033,2072,0.295,0.3
"843","45740","Toccoa, GA",6053,1351,0.223,0.3
"844","45780","Toledo, OH",106719,41019,0.384,0.4
"845","45820","Topeka, KS",46542,3878,0.083,0.1
"846","45860","Torrington, CT",37763,7317,0.194,0.2
"847","45900","Traverse City, MI",33657,10249,0.305,0.4
"848","45940","Trenton, NJ",61801,8998,0.146,0.2
"849","45980","Troy, AL",5899,1237,0.21,0.3
"850","46020","Truckee-Grass Valley, CA",25428,3860,0.152,0.2
"851","46060","Tucson, AZ",184233,84743,0.46,0.5
"852","46100","Tullahoma-Manchester, TN",22361,5014,0.224,0.3
"853","46140","Tulsa, OK",161956,45237,0.279,0.3
"854","46180","Tupelo, MS",27237,1669,0.061,0.1
"855","46220","Tuscaloosa, AL",41287,4434,0.107,0.2
"856","46300","Twin Falls, ID",17040,4920,0.289,0.3
"857","46340","Tyler, TX",39259,8266,0.211,0.3
"858","46380","Ukiah, CA",20180,1405,0.07,0.1
"859","46460","Union City, TN-KY",9042,1096,0.121,0.2
"860","46500","Urbana, OH",7448,3166,0.425,0.5
"861","46520","Urban Honolulu, HI",163770,78545,0.48,0.5
"862","46540","Utica-Rome, NY",63700,21109,0.331,0.4
"863","46620","Uvalde, TX",4994,1199,0.24,0.3
"864","46660","Valdosta, GA",20806,4519,0.217,0.3
"865","46700","Vallejo-Fairfield, CA",66316,29867,0.45,0.5
"866","46740","Valley, AL",8496,1369,0.161,0.2
"867","46780","Van Wert, OH",5944,1633,0.275,0.3
"868","46820","Vermillion, SD",1783,270,0.151,0.2
"869","46860","Vernal, UT",3611,907,0.251,0.3
"870","46900","Vernon, TX",2587,492,0.19,0.2
"871","46980","Vicksburg, MS",10585,1542,0.146,0.2
"872","47020","Victoria, TX",17133,3599,0.21,0.3
"873","47080","Vidalia, GA",6952,1678,0.241,0.3
"874","47180","Vincennes, IN",7608,583,0.077,0.1
"875","47220","Vineland-Bridgeton, NJ",26640,4035,0.151,0.2
"876","47240","Vineyard Haven, MA",3995,48,0.012,0.1
"877","47260","Virginia Beach-Norfolk-Newport News, VA-NC",259765,48030,0.185,0.2
"878","47300","Visalia-Porterville, CA",55859,6775,0.121,0.2
"879","47340","Wabash, IN",7581,2908,0.384,0.4
"880","47380","Waco, TX",41678,11301,0.271,0.3
"881","47420","Wahpeton, ND-MN",4252,1196,0.281,0.3
"882","47460","Walla Walla, WA",12566,1317,0.105,0.2
"883","47540","Wapakoneta, OH",8395,2111,0.251,0.3
"884","47580","Warner Robins, GA",28041,5096,0.182,0.2
"885","47620","Warren, PA",9745,1771,0.182,0.2
"886","47660","Warrensburg, MO",7274,1304,0.179,0.2
"887","47700","Warsaw, IN",13783,5356,0.389,0.4
"888","47780","Washington, IN",5272,424,0.08,0.1
"889","47820","Washington, NC",12278,1633,0.133,0.2
"890","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV",724655,80351,0.111,0.2
"891","47920","Washington Court House, OH",5801,2444,0.421,0.5
"892","47940","Waterloo-Cedar Falls, IA",31039,3828,0.123,0.2
"893","47980","Watertown, SD",4998,1590,0.318,0.4
"894","48020","Watertown-Fort Atkinson, WI",14666,3848,0.262,0.3
"895","48060","Watertown-Fort Drum, NY",18526,4367,0.236,0.3
"896","48100","Wauchula, FL",3971,830,0.209,0.3
"897","48140","Wausau, WI",24188,10535,0.436,0.5
"898","48180","Waycross, GA",11502,2601,0.226,0.3
"899","48220","Weatherford, OK",4335,233,0.054,0.1
"900","48260","Weirton-Steubenville, WV-OH",29161,9347,0.321,0.4
"901","48300","Wenatchee, WA",21720,4092,0.188,0.2
"902","48460","West Plains, MO",9845,1904,0.193,0.2
"903","48540","Wheeling, WV-OH",32625,14363,0.44,0.5
"904","48580","Whitewater-Elkhorn, WI",17821,3292,0.185,0.2
"905","48620","Wichita, KS",101175,16988,0.168,0.2
"906","48660","Wichita Falls, TX",26339,3294,0.125,0.2
"907","48700","Williamsport, PA",24333,7665,0.315,0.4
"908","48780","Williston, ND",3361,13,0.004,0.1
"909","48820","Willmar, MN",8631,4788,0.555,0.6
"910","48900","Wilmington, NC",49047,7708,0.157,0.2
"911","48940","Wilmington, OH",7909,2802,0.354,0.4
"912","48980","Wilson, NC",17324,2423,0.14,0.2
"913","49020","Winchester, VA-WV",23805,2895,0.122,0.2
"914","49080","Winnemucca, NV",2282,75,0.033,0.1
"915","49100","Winona, MN",8533,3518,0.412,0.5
"916","49180","Winston-Salem, NC",121485,65418,0.538,0.6
"917","49220","Wisconsin Rapids-Marshfield, WI",15956,8002,0.502,0.6
"918","49260","Woodward, OK",3394,139,0.041,0.1
"919","49300","Wooster, OH",20903,8768,0.419,0.5
"920","49340","Worcester, MA-CT",159231,53933,0.339,0.4
"921","49380","Worthington, MN",3798,1120,0.295,0.3
"922","49420","Yakima, WA",38174,7418,0.194,0.2
"923","49460","Yankton, SD",4486,756,0.169,0.2
"924","49620","York-Hanover, PA",82074,27655,0.337,0.4
"925","49660","Youngstown-Warren-Boardman, OH-PA",127072,59554,0.469,0.5
"926","49700","Yuba City, CA",26759,955,0.036,0.1
"927","49740","Yuma, AZ",29471,6087,0.207,0.3
"928","49780","Zanesville, OH",18363,5466,0.298,0.3
"929","49820","Zapata, TX",1802,228,0.127,0.2
